name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude
ABC BANKING CORPORATION LTD,"LEVEL 16, NEXXUS BUILDING, 41 CONNAUGHT ROAD CENTRAL, HONG KONG","7 DUKE OF EDINBURGH AVENUE, PLACE D' ARMES, 11328, PORT LOUIS, MAURITIUS",Local Representative Office,,22.284365654606,114.15656383984
ACCESS BANK UK LIMITED (THE),APPROVED BUT NOT YET OPENED,"4 ROYAL COURT, GADBROOK WAY, GADBROOK PARK, NORTHWICH, CHESHIRE, CW9 7UT, UNITED KINGDOM",Restricted Licence Bank,,,
AGRICULTURAL BANK OF CHINA LIMITED,"25/F, AGRICULTURAL BANK OF CHINA TOWER, 50 CONNAUGHT ROAD CENTRAL, HONG KONG.","NO. 69, JIANGUOMEN NEI AVENUE, DONGCHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100235,22.2854192839705,114.155976696388
AIRSTAR BANK LIMITED,"SUITES 3201-07, 32/F, TOWER 5, THE GATEWAY, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100329,22.2979939782603,114.167978967553
ALLIED BANKING CORPORATION (HONG KONG) LIMITED,"1402 WORLD-WIDE HOUSE, 19 DES VOEUX ROAD CENTRAL, HONG KONG.",,Restricted Licence Bank,,22.2825760359348,114.157792819561
ANT BANK (HONG KONG) LIMITED,"SUITES 2312-13, 23/F, TOWER ONE, TIMES SQUARE, 1 MATHESON STREET, CAUSEWAY BAY, HONG KONG",,Licensed Bank,,22.2786736827041,114.182316538718
"ASHIKAGA BANK, LTD. (THE)","SUITE 1601, 16/F, TOWER 2, THE GATEWAY, HARBOUR CITY, TSIM SHA TSUI, KOWLOON","1-25 SAKURA 4-CHOME, UTSUNOMIYA, TOCHIGI PREFECTURE 320-8610, JAPAN.",Local Representative Office,,22.2994410532312,114.167698725224
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,"20/F-22/F, THREE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG.","100 QUEEN STREET, MELBOURNE, VICTORIA 3000, AUSTRALIA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100164,22.2847046142116,114.157399564143
BANC OF AMERICA SECURITIES ASIA LIMITED,"52/F, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG.",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200017,22.2797945534004,114.160541838718
BANCO BILBAO VIZCAYA ARGENTARIA S.A.,"UNIT 9507, LEVEL 95, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","CARRERA DE SAN JERONIMO, 36 28014 MADRID, SPAIN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100157,22.3036215555103,114.160244340565
BANCO BPM SOCIETA' PER AZIONI,"SUITE 3205, CENTRAL PLAZA, 18 HARBOUR ROAD, WAN CHAI, HONG KONG.","PIAZZA NOGARA 2, 37100 VERONA, ITALY.",Local Representative Office,,22.2799081642232,114.173729903384
BANCO BRADESCO S.A.,"SUITE 3516, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","CIDADE DE DEUS, S/N, VILA YARA, OSASCO, SP, CEP 06029-900, BRAZIL",Local Representative Office,,22.2852777834008,114.159257836305
"BANCO SANTANDER, S.A.","10/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG.","PASEO DE PEREDA 9-12, SANTANDER, 39004, SPAIN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100289,22.2855138190291,114.15928617494
BANCO SECURITY,"SUITE 2407, 9 QUEEN'S ROAD CENTRAL, HONG KONG.","AV. APOQUINDO 3150, LAS CONDES, SANTIAGO, CHILE.",Local Representative Office,,22.2803058797075,114.158685138718
BANGKOK BANK PUBLIC COMPANY LIMITED,"BANGKOK BANK BUILDING, 28 DES VOEUX ROAD, CENTRAL, HONG KONG.","333 SILOM ROAD, BANGKOK 10500, THAILAND.",Licensed Bank,,22.2829748074669,114.156923549934
BANK J. SAFRA SARASIN AG,"40/F, EDINBURGH TOWER, THE LANDMARK, 15 QUEEN'S ROAD CENTRAL, HONG KONG.","ELISABETHENSTRASSE 62, POSTFACH, CH-4002 BASEL, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100297,22.2807749796378,114.157917450082
BANK JULIUS BAER & CO. LTD.,"39/F, ONE INTERNATIONAL FINANCE CENTRE, 1 HARBOUR VIEW STREET, CENTRAL, HONG KONG.","BAHNHOFSTRASSE 36, CH-8010 ZURICH, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100301,22.2850431645719,114.156918525224
"BANK OF AMERICA, NATIONAL ASSOCIATION","52/F, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG.","100 NORTH TRYON STREET, 18/F, CHARLOTTE, NORTH CAROLINA 28255.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100045,22.2798839040963,114.160541838718
"BANK OF BEIJING CO., LTD.","UNIT 5601, 56/F, THE CENTER, NO. 99 QUEEN'S ROAD CENTRAL, HONG KONG","GROUND FLOOR, JIA NO.17, FINANCIAL STREET, XICHENG DISTRICT, BEIJING, PRC.",Local Representative Office,,22.2845990521876,114.154739996388
BANK OF CHINA (HONG KONG) LIMITED,"14TH FLOOR, BANK OF CHINA TOWER, NO.1 GARDEN ROAD, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100072,22.2795425489391,114.161493096388
BANK OF CHINA INTERNATIONAL LIMITED,"2/F & 3/F, BANK OF CHINA BUILDING, 2A DES VOEUX ROAD CENTRAL, HONG KONG",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200069,22.2802537910159,114.160114267553
BANK OF CHINA LIMITED,"7/F, BANK OF CHINA TOWER, 1 GARDEN ROAD, CENTRAL, HONG KONG.","1 FUXINGMEN NEI DAJIE, BEIJING 100818, CHINA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100011,22.2794281237958,114.16145653695
BANK OF COMMUNICATIONS (HONG KONG) LIMITED,"UNIT B B/F & G/F, UNIT C G/F, 1-3/F, 16/F ROOM 01 & 18/F, WHEELOCK HOUSE, 20 PEDDER STREET, CENTRAL, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100320,22.2822187098853,114.157324280904
"BANK OF COMMUNICATIONS CO., LTD.","UNIT B B/F & G/F, UNIT C G/F, 1-3/F, 16/F ROOM 01 & 18/F, WHEELOCK HOUSE, 20 PEDDER STREET, CENTRAL, HONG KONG","NO.188 YINCHENG ZHONG ROAD, SHANGHAI, P R CHINA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100023,22.2822584612118,114.157345738718
"BANK OF DONGGUAN CO., LTD.","SUITES 2504-2511, 25/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","NO. 21 TIYU ROAD, GUANCHENG DISTRICT, DONGGUAN, GUANGDONG, CHINA.",Licensed Bank,,22.2854233173531,114.15925752409
"BANK OF EAST ASIA, LIMITED (THE)","BANK OF EAST ASIA BUILDING, 10 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100013,22.2810709559658,114.158380734593
"BANK OF FUKUOKA, LTD. (THE)","ROOM 404, 4TH FLOOR, FAR EAST FINANCE CENTRE, 16 HARCOURT ROAD, HONG KONG.","13-1,TENJIN 2-CHOME, CHUO-KU,FUKUOKA 810-0001, JAPAN.",Local Representative Office,,22.2799748518626,114.164062125223
BANK OF INDIA,"2/F., RUTTONJEE HOUSE, 11 DUDDELL STREET, CENTRAL, HONG KONG.","EXPRESS TOWERS NARIMAN POINT BOMBAY 400021, INDIA.",Licensed Bank,,22.2801786257031,114.156825725224
"BANK OF KYOTO, LTD. (THE)","UNIT 2001, 20/F, TOWER 1, ADMIRALTY CENTRE, 18 HARCOURT ROAD, HONG KONG","700 YAKUSHIMAE-CHO, KARASUMADORI-MATSUBARA-AGARU SHIMOGYO-KU KYOTO, JAPAN.",Local Representative Office,,22.2794898206045,114.164819440089
BANK OF MONTREAL,"SUITES 2806-2809, LEVEL 28, THREE PACIFIC PLACE, 1 QUEEN'S ROAD EAST, HONG KONG","129, RUE SAINT-JACQUES, MONTREAL, QUEBEC, H2Y 1L6, CANADA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100097,22.2770220602961,114.168030267553
BANK OF NEW YORK MELLON (THE),"LEVEL 26, THREE PACIFIC PLACE, 1 QUEEN'S ROAD EAST, HONG KONG.","240 GREENWICH STREET, NEW YORK, NY 10286",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100147,22.2776599976679,114.164548074967
BANK OF NOVA SCOTIA (THE),"SUITE 2101, CENTRAL TOWER, 28 QUEEN'S ROAD CENTRAL, HONG KONG.","44 KING STREET WEST, TORONTO, ONTARIO, CANADA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100088,22.2812123621644,114.156821063959
BANK OF SHANGHAI (HONG KONG) LIMITED,"34/F, CHAMPION TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG.",,Restricted Licence Bank,,22.278446979709,114.160644996388
BANK OF SINGAPORE LIMITED,"34/F & 35/F, ONE INTERNATIONAL FINANCE CENTRE, 1 HARBOUR VIEW STREET, CENTRAL, HONG KONG.","63 CHULIA STREET, #10-00 OCBC CENTRE EAST, SINGAPORE (049514)",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100290,22.2849386021992,114.158046454059
BANK OF TAIWAN,"17/F, STANDARD CHARTERED BANK BUILDING, 4-4A DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG","NO. 120, SECTION 1, CHONGCING SOUTH ROAD, JHONGJHENG DISTRICT, TAIPEI CITY 10007, TAIWAN.",Licensed Bank,,22.2803701111054,114.159081901702
"BANK OF YOKOHAMA, LTD. (THE)","SUITE 2109 , TOWER 6, THE GATEWAY, HARBOUR CITY, 9 CANTON ROAD, TSIM SHA TSUI, KOWLOON.","1-1, MINATOMIRAI 3-CHOME, NISHI-KU, YOKOHAMA, KANAGAWA, 220-8611, JAPAN.",Local Representative Office,,22.2970395163072,114.168193994587
BANK SINOPAC,"26/F, CENTRAL TOWER, 28 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG.","NO.36, SECTION 3, NANKING EAST ROAD, CHUNG SHAN DISTRICT, TAIPEI 104, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100260,22.2937438336182,114.158152146543
BANQUE CANTONALE DE GENEVE,"UNIT 808-809, 8/F, ALEXANDRA HOUSE, 18 CHATER ROAD, CENTRAL, HONG KONG.","BCGE, QUAI DE L'LLE 17, P.O. BOX 2251, CH-1211 GENEVA 2, SWITZERLAND.",Local Representative Office,,22.2815108431753,114.158574037015
BANQUE PICTET & CIE SA,"9/F, CHATER HOUSE, 8 CONNAUGHT ROAD CENTRAL, HONG KONG","ROUTE DES ACACIAS 60, 1211 GENEVA 73, SWITZERLAND",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100339,22.2824235332795,114.158389267553
BANQUE TRANSATLANTIQUE S.A.,"SUITES 4306-4311, 43RD FLOOR, JARDINE HOUSE, 1 CONNAUGHT PLACE, CENTRAL, HONG KONG","26 AVENUE F.D. ROOSEVELT, 75008 PARIS, FRANCE",Local Representative Office,,22.282960710963,114.159255892303
BARCLAYS BANK PLC,"41/F, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, HONG KONG.","1 CHURCHILL PLACE, LONDON, E14 5HP, UNITED KINGDOM.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100084,22.2798144091155,114.160584754059
BCOM FINANCE (HONG KONG) LIMITED,"1/F WHEELOCK HOUSE, 20 PEDDER STREET, CENTRAL, HONG KONG.",,Deposit-taking Company,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=300275,22.2820140520059,114.157362096388
"BDO UNIBANK, INC.","SUITE 1001, 10TH FLOOR, CENTRAL TOWER, 28 QUEEN'S ROAD CENTRAL, HONG KONG","BDO CORPORATE CENTER, 7899 MAKATI AVENUE, MAKATI CITY, PHILIPPINES.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100054,22.2813532903248,114.156826361729
BENDURA BANK AG,"UNIT 1905, LEVEL 19, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON","SCHAANER STRASSE 27, 9487 GAMPRIN-BENDERN, PRINCIPALITY OF LIECHTENSTEIN",Local Representative Office,,22.3034257556302,114.160179395392
BNP PARIBAS,"60/F AND 63/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG.","16, BOULEVARD DES ITALIENS, 75009 PARIS, FRANCE.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100079,22.2856881962824,114.159311480481
BPI INTERNATIONAL FINANCE LIMITED,"5/F, LHT TOWER, 31 QUEEN'S ROAD CENTRAL, HONG KONG",,Deposit-taking Company,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=300006,22.2821234350935,114.156525438718
CA INDOSUEZ (SWITZERLAND) SA,"SUITE 2918, 29/F, TWO PACIFIC PLACE, 88 QUEENSWAY, HONG KONG.","4, QUAI G-N-RAL-GUISAN, 1204 GENEVA, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100303,22.2774091502031,114.16440756599
CAIXABANK S.A.,"UNIT 12A, 12TH FLOOR, NO. 33 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG","PINTOR SOROLLA, 2-4 IN VALENCIA, SPAIN",Local Representative Office,,22.2830369797056,114.157164967553
CANADIAN IMPERIAL BANK OF COMMERCE,"SUITE 3602, 36/F., CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, HONG KONG.","81 BAY STREET, CIBC SQUARE, TORONTO, ONTARIO, M5J 0E7 CANADA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100099,22.2798500269763,114.160564135874
CATHAY BANK,"3008, 30/F, TOWER 2, THE GATEWAY, 25 CANTON ROAD, TSIM SHA TSUI, KOWLOON","777 NORTH BROADWAY, LOS ANGELES, CA 90012, U.S.A.",Licensed Bank,,22.3002932675569,114.168059360964
"CATHAY UNITED BANK COMPANY, LIMITED","10/F, LEE GARDEN THREE, 1 SUNNING ROAD, CAUSEWAY BAY, HONG KONG","1/F, NO. 7, SONGREN ROAD, TAIPEI CITY 110, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100252,22.2783829146554,114.185220017553
"CHANG HWA COMMERCIAL BANK, LTD.","1401, TOWER II, THE GATEWAY, 25 CANTON ROAD, KOWLOON.","NO. 38, SECTION 2, ZIYOU ROAD, CENTRAL DIST., TAICHUNG CITY, TAIWAN",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100223,22.2996901278606,114.167745067837
CHAU'S BROTHERS FINANCE COMPANY LIMITED,"6TH FLOOR, CHAU'S COMMERCIAL CENTRE, 284 SHA TSUI ROAD, TSUEN WAN, N.T.",,Deposit-taking Company,,22.3696493296432,114.116494067555
"CHIBA BANK, LTD. (THE)","UNIT 2510, ONE PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG.","1-2, CHIBA-MINATO, CHUO-KU CHIBA, JAPAN.",Licensed Bank,,22.2908404998831,114.164237918943
"CHINA BOHAI BANK CO., LTD.","SUITE 1201-1209 & 1215-1216, 12/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","NO. 218, HAIHE EAST ROAD, HEDONG DISTRICT, TIANJIN, CHINA",Licensed Bank,,22.2853705678477,114.159299853492
CHINA CITIC BANK CORPORATION LIMITED,"80/F, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON","6-30/F AND 32-42/F, BUILDING NO. 1, 10 GUANGHUA ROAD, CHAOYANG DISTRICT, BEIJING, CHINA",Licensed Bank,,22.303660522019,114.160129215707
CHINA CITIC BANK INTERNATIONAL LIMITED,"61-65, DES VOEUX ROAD CENTRAL, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100040,22.2838906139429,114.156726094542
CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,"28/F, CCB TOWER, NO. 3 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100015,22.2814979084633,114.161474327846
CHINA CONSTRUCTION BANK CORPORATION,"28/F, CCB TOWER, NO. 3 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG.","NO.25, FINANCIAL STREET, XICHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100234,22.2816319176331,114.161452867553
CHINA DEVELOPMENT BANK,"33/F, ONE INTERNATIONAL FINANCE CENTRE, NO.1 HARBOUR VIEW STREET, CENTRAL, HONG KONG.","NO. 18, FUXINGMENNEI STREET, XICHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,,22.2853757265342,114.156848741616
"CHINA EVERBRIGHT BANK CO., LTD.","G/F (SHOP B), 11/F, 20/F, 22/F, 23/F & 36/F, EVERBRIGHT CENTRE, 108 GLOUCESTER ROAD, WANCHAI, HONG KONG.","CHINA EVERBRIGHT CENTER, NO. 25 TAIPINGQIAO AVENUE, XICHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100314,22.2792805214743,114.173872138718
"CHINA GUANGFA BANK CO., LTD.","12 FLOOR, ONE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG","CGB BUILDING, NO. 713 DONGFENGDONG ROAD, YUEXIU DISTRICT, GUANGZHOU, GUANGDONG PROVINCE, P. R. CHINA",Licensed Bank,,22.2847241474469,114.157453367553
"CHINA MERCHANTS BANK CO., LTD.","27-28/F, 30-31/F, THREE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG.","CHINA MERCHANTS BANK TOWER, 7088 SHENNAN BOULEVARD, SHENZHEN, CHINA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100255,22.2847845675241,114.157337238718
"CHINA MINSHENG BANKING CORP., LTD.","ROOMS 01-02, 12-16, 37/F & 40/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","NO. 2, FUXINGMENNEI AVENUE, XICHENG DISTRICT, BEIJING, CHINA 100031.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100311,22.2854007466296,114.159313240565
"CHINA ZHESHANG BANK CO., LTD.","15TH FLOOR, THREE EXCHANGE SQUARE, NO. 8 CONNAUGHT PLACE, CENTRAL, HONG KONG","NO. 1 MINXIN ROAD, SHANGCHENG DISTRICT, HANGZHOU, ZHEJIANG, PEOPLE'S REPUBLIC OF CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100324,22.2848373123961,114.157381425224
CHIYU BANKING CORPORATION LIMITED,"74-78 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100064,22.2840727033681,114.156141711729
